PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://kroam.xyz/leagues/uel/fc-porto-vs-rangers-2026-01-29,FC Porto 3-1 Rangers | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/eredivisie/fortuna-sittard-vs-sparta-rotterdam-2026-02-07,Fortuna Sittard vs Sparta Rotterdam Prediction | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/about,About Kroam | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/ligue1/metz-vs-lyon-2026-01-25,Metz 2-5 Lyon | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/ligue1/lens-vs-rennes-2026-02-07,Lens vs Rennes Prediction | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/epl/nottingham-forest-vs-crystal-palace-2026-02-01,Nott'm Forest 1-1 Crystal Palace | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/ucl/monaco-vs-juventus-2026-01-28,Monaco 0-0 Juventus | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/epl/arsenal-vs-manchester-united-2026-01-25,Arsenal 2-3 Man Utd | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/seriea/inter-vs-pisa-2026-01-23,Inter 6-2 Pisa | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/blog/champions-league-league-stage-8-roundup,UEFA Champions League Week 8 AI Model Accuracy,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/bundesliga/werder-bremen-vs-1899-hoffenheim-2026-01-27,Werder Bremen 0-2 1899 Hoffenheim | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/eredivisie/nec-nijmegen-vs-heracles-2026-02-07,NEC Nijmegen vs Heracles Prediction | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/seriea/juventus-vs-napoli-2026-01-25,Juventus 3-0 Napoli | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/epl/everton-vs-leeds-2026-01-26,Everton 1-1 Leeds | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/uel/genk-vs-malmo-ff-2026-01-29,Genk 2-1 Malmo FF | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/blog/turkish-super-lig-regular-season-20-roundup,Turkish Super Lig AI Model Accuracy Week 20,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/seriea/napoli-vs-fiorentina-2026-01-31,Napoli 2-1 Fiorentina | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/epl/leeds-vs-arsenal-2026-01-31,Leeds 0-4 Arsenal | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/bundesliga/vfl-wolfsburg-vs-borussia-dortmund-2026-02-07,VfL Wolfsburg vs Dortmund Prediction | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/epl/liverpool-vs-newcastle-2026-01-31,Liverpool 4-1 Newcastle | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/uel/fc-basel-1893-vs-plzen-2026-01-29,FC Basel 1893 0-1 Plzen | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/bundesliga/fc-st-pauli-vs-rb-leipzig-2026-01-27,FC St. Pauli 1-1 Leipzig | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/eredivisie/groningen-vs-fortuna-sittard-2026-01-25,Groningen 1-2 Fortuna Sittard | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/ucl/club-brugge-kv-vs-marseille-2026-01-28,Club Brugge KV 3-0 Marseille | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/eredivisie/az-alkmaar-vs-nec-nijmegen-2026-01-31,AZ Alkmaar 1-3 NEC Nijmegen | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/superlig/rizespor-vs-alanyaspor-2026-01-25,Rizespor 1-1 Alanyaspor | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/bundesliga/fc-st-pauli-vs-vfb-stuttgart-2026-02-07,FC St. Pauli vs VfB Stuttgart Prediction | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/eredivisie/excelsior-vs-ajax-2026-02-01,Excelsior 2-2 Ajax | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/turkish-super-lig/genclerbirligi-vs-gaziehir-gaziantep-2026-02-01,Genclerbirligi 2-1 Gazişehir Gaziantep | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://kroam.xyz/leagues/epl/fulham-vs-everton-2026-02-07,Fulham vs Everton Prediction | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/eredivisie/pec-zwolle-vs-fc-volendam-2026-02-07,PEC Zwolle vs FC Volendam Prediction | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/ucl/athletic-club-vs-sporting-cp-2026-01-28,Athletic 2-3 Sporting CP | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/epl/wolves-vs-bournemouth-2026-01-31,Wolves 0-2 Bournemouth | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/turkish-super-lig/kocaelispor-vs-fenerbahe-2026-02-02,Kocaelispor 0-2 Fenerbahçe | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://kroam.xyz/leagues/epl/newcastle-vs-brentford-2026-02-07,Newcastle vs Brentford Prediction | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/bundesliga/rb-leipzig-vs-fsv-mainz-05-2026-01-31,Leipzig 1-2 FSV Mainz 05 | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/ucl/eintracht-frankfurt-vs-tottenham-2026-01-28,Frankfurt 0-2 Tottenham | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/laliga/alaves-vs-real-betis-2026-01-25,Alaves 2-1 Real Betis | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/seriea/verona-vs-udinese-2026-01-26,Verona 1-3 Udinese | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/seriea/lazio-vs-genoa-2026-01-30,Lazio 3-2 Genoa | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/bundesliga/1899-hoffenheim-vs-union-berlin-2026-01-31,1899 Hoffenheim 3-1 Union Berlin | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/seriea/cagliari-vs-verona-2026-01-31,Cagliari 4-0 Verona | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/ligue1/monaco-vs-rennes-2026-01-31,Monaco 4-0 Rennes | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/superlig/baakehir-vs-rizespor-2026-01-31,Başakşehir 2-2 Rizespor | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/laliga/espanyol-vs-alaves-2026-01-30,Espanyol 1-2 Alaves | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/epl/manchester-united-vs-fulham-2026-02-01,Man Utd 3-2 Fulham | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://kroam.xyz/leagues/laliga/levante-vs-atletico-madrid-2026-01-31,Levante 0-0 Atletico | Kroam,text/html; charset=utf-8,false,200,0,0,1,0,1
