PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,https://kroam.xyz/leagues/europa-league/lyon-vs-paok-2026-01-29,,,false,301,0,https://kroam.xyz/leagues/uel/lyon-vs-paok-2026-01-29,200,https://kroam.xyz/leagues/uel/lyon-vs-paok-2026-01-29,200,false,1,0,https://kroam.xyz/leagues/uel
0,https://kroam.xyz/leagues/ligue-1/strasbourg-vs-paris-saint-germain-2026-02-01,,,false,301,0,https://kroam.xyz/leagues/ligue1/strasbourg-vs-paris-saint-germain-2026-02-01,200,https://kroam.xyz/leagues/ligue1/strasbourg-vs-paris-saint-germain-2026-02-01,200,false,1,0,https://kroam.xyz/leagues/ligue1
0,https://kroam.xyz/leagues/la-liga/barcelona-vs-mallorca-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/laliga/barcelona-vs-mallorca-2026-02-07,200,https://kroam.xyz/leagues/laliga/barcelona-vs-mallorca-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/laliga
0,https://kroam.xyz/leagues/ligue-1/nantes-vs-lyon-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/ligue1/nantes-vs-lyon-2026-02-07,200,https://kroam.xyz/leagues/ligue1/nantes-vs-lyon-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/ligue1
0,https://kroam.xyz/leagues/champions-league/eintracht-frankfurt-vs-tottenham-2026-01-28,,,false,301,0,https://kroam.xyz/leagues/ucl/eintracht-frankfurt-vs-tottenham-2026-01-28,200,https://kroam.xyz/leagues/ucl/eintracht-frankfurt-vs-tottenham-2026-01-28,200,false,1,0,https://kroam.xyz/leagues/ucl
0,https://kroam.xyz/leagues/premier-league/burnley-vs-west-ham-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/epl/burnley-vs-west-ham-2026-02-07,200,https://kroam.xyz/leagues/epl/burnley-vs-west-ham-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/epl
0,https://kroam.xyz/leagues/europa-league/genk-vs-malmo-ff-2026-01-29,,,false,301,0,https://kroam.xyz/leagues/uel/genk-vs-malmo-ff-2026-01-29,200,https://kroam.xyz/leagues/uel/genk-vs-malmo-ff-2026-01-29,200,false,1,0,https://kroam.xyz/leagues/uel
0,https://kroam.xyz/leagues/europa-league/lille-vs-sc-freiburg-2026-01-29,,,false,301,0,https://kroam.xyz/leagues/uel/lille-vs-sc-freiburg-2026-01-29,200,https://kroam.xyz/leagues/uel/lille-vs-sc-freiburg-2026-01-29,200,false,1,0,https://kroam.xyz/leagues/uel
0,https://kroam.xyz/leagues/ligue-1/metz-vs-lille-2026-02-06,,,false,301,0,https://kroam.xyz/leagues/ligue1/metz-vs-lille-2026-02-06,200,https://kroam.xyz/leagues/ligue1/metz-vs-lille-2026-02-06,200,false,1,0,https://kroam.xyz/leagues/ligue1
0,https://kroam.xyz/leagues/premier-league/wolves-vs-chelsea-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/epl/wolves-vs-chelsea-2026-02-07,200,https://kroam.xyz/leagues/epl/wolves-vs-chelsea-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/epl
0,https://www.kroam.xyz/,,,false,302,0,https://kroam.xyz/,200,https://kroam.xyz/,200,false,1,1,
0,http://kroam.xyz/,,,false,302,0,https://kroam.xyz/,200,https://kroam.xyz/,200,false,0,0,
0,https://kroam.xyz/leagues/serie-a/fiorentina-vs-torino-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/seriea/fiorentina-vs-torino-2026-02-07,200,https://kroam.xyz/leagues/seriea/fiorentina-vs-torino-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/seriea
0,https://kroam.xyz/leagues/premier-league/newcastle-vs-brentford-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/epl/newcastle-vs-brentford-2026-02-07,200,https://kroam.xyz/leagues/epl/newcastle-vs-brentford-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/epl
0,https://kroam.xyz/leagues/europa-league/fk-crvena-zvezda-vs-celta-vigo-2026-01-29,,,false,301,0,https://kroam.xyz/leagues/uel/fk-crvena-zvezda-vs-celta-vigo-2026-01-29,200,https://kroam.xyz/leagues/uel/fk-crvena-zvezda-vs-celta-vigo-2026-01-29,200,false,1,0,https://kroam.xyz/leagues/uel
0,https://kroam.xyz/leagues/ligue-1/lens-vs-rennes-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/ligue1/lens-vs-rennes-2026-02-07,200,https://kroam.xyz/leagues/ligue1/lens-vs-rennes-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/ligue1
0,https://kroam.xyz/leagues/serie-a/genoa-vs-napoli-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/seriea/genoa-vs-napoli-2026-02-07,200,https://kroam.xyz/leagues/seriea/genoa-vs-napoli-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/seriea
0,https://kroam.xyz/leagues/premier-league/fulham-vs-everton-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/epl/fulham-vs-everton-2026-02-07,200,https://kroam.xyz/leagues/epl/fulham-vs-everton-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/epl
0,https://kroam.xyz/leagues/serie-a/verona-vs-pisa-2026-02-06,,,false,301,0,https://kroam.xyz/leagues/seriea/verona-vs-pisa-2026-02-06,200,https://kroam.xyz/leagues/seriea/verona-vs-pisa-2026-02-06,200,false,1,0,https://kroam.xyz/leagues/seriea
0,https://kroam.xyz/leagues/la-liga/real-sociedad-vs-elche-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/laliga/real-sociedad-vs-elche-2026-02-07,200,https://kroam.xyz/leagues/laliga/real-sociedad-vs-elche-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/laliga
0,https://kroam.xyz/leagues/ligue-1/stade-brestois-29-vs-lorient-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/ligue1/stade-brestois-29-vs-lorient-2026-02-07,200,https://kroam.xyz/leagues/ligue1/stade-brestois-29-vs-lorient-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/ligue1
0,https://kroam.xyz/leagues/europa-league/fc-porto-vs-rangers-2026-01-29,,,false,301,0,https://kroam.xyz/leagues/uel/fc-porto-vs-rangers-2026-01-29,200,https://kroam.xyz/leagues/uel/fc-porto-vs-rangers-2026-01-29,200,false,1,0,https://kroam.xyz/leagues/uel
0,https://kroam.xyz/leagues/champions-league/ajax-vs-olympiakos-piraeus-2026-01-28,,,false,301,0,https://kroam.xyz/leagues/ucl/ajax-vs-olympiakos-piraeus-2026-01-28,200,https://kroam.xyz/leagues/ucl/ajax-vs-olympiakos-piraeus-2026-01-28,200,false,1,0,https://kroam.xyz/leagues/ucl
0,https://kroam.xyz/leagues/champions-league/athletic-club-vs-sporting-cp-2026-01-28,,,false,301,0,https://kroam.xyz/leagues/ucl/athletic-club-vs-sporting-cp-2026-01-28,200,https://kroam.xyz/leagues/ucl/athletic-club-vs-sporting-cp-2026-01-28,200,false,1,0,https://kroam.xyz/leagues/ucl
0,https://kroam.xyz/leagues/la-liga/sevilla-vs-girona-2026-02-07,,,false,301,0,https://kroam.xyz/leagues/laliga/sevilla-vs-girona-2026-02-07,200,https://kroam.xyz/leagues/laliga/sevilla-vs-girona-2026-02-07,200,false,1,0,https://kroam.xyz/leagues/laliga
