PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Referenced in sitemaps,No. of href inlinks,No. of redirect inlinks,No. of canonical inlinks,No. of hreflang inlinks,No. of pagination inlinks,No. of CSS inlinks,No. of IMG inlinks,No. of JS inlinks
20,https://kroam.xyz/leagues/epl/bournemouth-vs-liverpool-2026-01-24,Bournemouth 3-2 Liverpool | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/superlig/antalyaspor-vs-genclerbirligi-2026-01-25,Antalyaspor 2-1 Genclerbirligi | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/epl/west-ham-vs-sunderland-2026-01-24,West Ham 3-1 Sunderland | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/ucl/liverpool-vs-qarabag-2026-01-28,Liverpool 6-0 Qarabag | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/seriea/como-vs-torino-2026-01-24,Como 6-0 Torino | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/epl/brentford-vs-nottingham-forest-2026-01-25,Brentford 0-2 Nott'm Forest | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/seriea/fiorentina-vs-cagliari-2026-01-24,Fiorentina 1-2 Cagliari | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/uel/fc-midtjylland-vs-dinamo-zagreb-2026-01-29,FC Midtjylland 2-0 Dinamo Zagreb | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/models/gpt-oss-120b-syn,GPT-OSS 120B (Synthetic) Football Predictions | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/models.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/laliga/real-sociedad-vs-celta-vigo-2026-01-25,Sociedad 3-1 Celta Vigo | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/laliga/barcelona-vs-oviedo-2026-01-25,Barcelona 3-0 Oviedo | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/bundesliga/bayer-leverkusen-vs-werder-bremen-2026-01-24,Leverkusen 1-0 Werder Bremen | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/uel/fcsb-vs-fenerbahe-2026-01-29,FCSB 1-1 Fenerbahçe | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/uel/ludogorets-vs-nice-2026-01-29,Ludogorets 1-0 Nice | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/models/deepseek-v3.2-syn,DeepSeek V3.2 (Synthetic) Football Predictions | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/models.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/eredivisie/psv-eindhoven-vs-nac-breda-2026-01-24,PSV Eindhoven 2-2 NAC Breda | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/seriea/sassuolo-vs-cremonese-2026-01-25,Sassuolo 1-0 Cremonese | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/ucl/napoli-vs-chelsea-2026-01-28,Napoli 2-3 Chelsea | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/superlig/gaziehir-gaziantep-vs-konyaspor-2026-01-25,Gazişehir Gaziantep 1-1 Konyaspor | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/laliga/villarreal-vs-real-madrid-2026-01-24,Villarreal 0-2 Real Madrid | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/ucl/borussia-dortmund-vs-inter-2026-01-28,Dortmund 0-2 Inter | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/eredivisie/nec-nijmegen-vs-pec-zwolle-2026-01-24,NEC Nijmegen 2-1 PEC Zwolle | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/bundesliga/1-fc-heidenheim-vs-rb-leipzig-2026-01-24,1. FC Heidenheim 0-3 Leipzig | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/ligue1/auxerre-vs-paris-saint-germain-2026-01-23,Auxerre 0-1 Paris Saint Germain | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/bundesliga/borussia-mnchengladbach-vs-vfb-stuttgart-2026-01-25,M'gladbach 0-3 VfB Stuttgart | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/seriea/lecce-vs-lazio-2026-01-24,Lecce 0-0 Lazio | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/eredivisie/telstar-vs-az-alkmaar-2026-01-25,Telstar 0-1 AZ Alkmaar | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/eredivisie/ajax-vs-fc-volendam-2026-01-24,Ajax 2-0 FC Volendam | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/ligue1/nantes-vs-nice-2026-01-25,Nantes 1-4 Nice | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/ligue1/marseille-vs-lens-2026-01-24,Marseille 3-1 Lens | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/bundesliga/eintracht-frankfurt-vs-1899-hoffenheim-2026-01-24,Frankfurt 1-3 1899 Hoffenheim | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/bundesliga/union-berlin-vs-borussia-dortmund-2026-01-24,Union Berlin 0-3 Dortmund | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/models/minimax-m2.1-syn,MiniMax M2.1 (Synthetic) Football Predictions | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/models.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/uel/celtic-vs-utrecht-2026-01-29,Celtic 4-2 Utrecht | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/leagues/epl/burnley-vs-tottenham-2026-01-24,Burnley 2-2 Tottenham | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/matches/0.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/models/glm-4.7-syn,GLM 4.7 (Synthetic) Football Predictions | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/models.xml,0,0,0,0,0,0,0,0
20,https://kroam.xyz/models/qwen3-235b-thinking-syn,Qwen3 235B Thinking (Synthetic) Football Predictions | Kroam,text/html; charset=utf-8,false,200,0,https://kroam.xyz/sitemap/models.xml,0,0,0,0,0,0,0,0
